Topic,Question,Answer
Subject,Question,Answer
Discrete Mathematics,What is a set?,"A set is a collection of distinct objects, considered as an object in its own right."
Discrete Mathematics,What is a function?,"A function is a relation between a set of inputs and a set of permissible outputs."
Discrete Mathematics,What is a graph?,"A graph is a collection of vertices and edges connecting some or all vertices."
Discrete Mathematics,What is a relation?,"A relation is a set of ordered pairs, usually defined on a set."
Discrete Mathematics,What is a binary tree?,"A binary tree is a tree data structure in which each node has at most two children."
Discrete Mathematics,What is a permutation?,"A permutation is an arrangement of all or part of a set of objects."
Discrete Mathematics,What is a combination?,"A combination is a selection of items from a larger pool, where order does not matter."
Discrete Mathematics,What is an equivalence relation?,"An equivalence relation is a relation that is reflexive, symmetric, and transitive."
Discrete Mathematics,What is a directed graph?,"A directed graph is a graph in which the edges have a direction."
Discrete Mathematics,What is a bipartite graph?,"A bipartite graph is a graph whose vertices can be divided into two disjoint sets."
Discrete Mathematics,What is a Boolean algebra?,"Boolean algebra is a branch of algebra that involves variables whose values are true or false."
Discrete Mathematics,What is a Venn diagram?,"A Venn diagram is a diagram that shows all possible logical relations between a finite collection of different sets."
Discrete Mathematics,What is a predicate?,"A predicate is a statement that can be true or false depending on the values of its variables."
Discrete Mathematics,What is mathematical induction?,"Mathematical induction is a method of mathematical proof used to prove statements for all natural numbers."
Discrete Mathematics,What is a tautology?,"A tautology is a formula that is true in every possible interpretation."
Discrete Mathematics,What is a contradiction?,"A contradiction is a logical statement that is always false."
Discrete Mathematics,What is a finite set?,"A finite set is a set with a finite number of elements."
Discrete Mathematics,What is an infinite set?,"An infinite set is a set with an infinite number of elements."
Discrete Mathematics,What is a closure?,"A closure of a set is the smallest closed set containing the original set."
Discrete Mathematics,What is a power set?,"A power set is the set of all subsets of a set, including the empty set and the set itself."
Digital Logic,What is a logic gate?,"A logic gate is an electronic component that performs a basic logical function."
Digital Logic,What is a truth table?,"A truth table is a mathematical table used to determine the truth value of a logical expression."
Digital Logic,What is an AND gate?,"An AND gate is a digital logic gate that outputs true only if all its inputs are true."
Digital Logic,What is an OR gate?,"An OR gate is a digital logic gate that outputs true if at least one of its inputs is true."
Digital Logic,What is a NOT gate?,"A NOT gate is a digital logic gate that outputs the inverse of its input."
Digital Logic,What is a NAND gate?,"A NAND gate is a combination of an AND gate followed by a NOT gate."
Digital Logic,What is a NOR gate?,"A NOR gate is a combination of an OR gate followed by a NOT gate."
Digital Logic,What is a flip-flop?,"A flip-flop is a circuit that has two stable states and can be used to store binary data."
Digital Logic,What is a multiplexer?,"A multiplexer is a device that selects one of several input signals and forwards the selected input to a single output line."
Digital Logic,What is a demultiplexer?,"A demultiplexer is a device that takes a single input signal and selects one of many output lines."
Digital Logic,What is a decoder?,"A decoder is a device that converts binary information from coded inputs to unique outputs."
Digital Logic,What is an encoder?,"An encoder is a device that converts information from one format or code to another."
Digital Logic,What is a combinational circuit?,"A combinational circuit is a type of digital circuit whose output is purely determined by its current inputs."
Digital Logic,What is a sequential circuit?,"A sequential circuit is a type of digital circuit whose output depends on both its current inputs and its past states."
Digital Logic,What is a half adder?,"A half adder is a digital circuit that adds two single binary digits and outputs a sum and a carry value."
Digital Logic,What is a full adder?,"A full adder is a digital circuit that adds three binary digits and outputs a sum and a carry value."
Digital Logic,What is a register?,"A register is a small amount of storage available directly in a CPU for high-speed data access."
Digital Logic,What is a counter?,"A counter is a sequential circuit that counts pulses and produces a binary output."
Digital Logic,What is a shift register?,"A shift register is a type of register that allows for the shifting of bits in a binary number."
Digital Logic,What is a logic level?,"A logic level is a representation of a binary value (0 or 1) in a digital circuit."
Computer Organization and Computer Architecture,What is computer architecture?,"Computer architecture refers to the design and organization of a computer's components."
Computer Organization and Computer Architecture,What is the CPU?,"The CPU (Central Processing Unit) is the primary component that performs most of the processing inside a computer."
Computer Organization and Computer Architecture,What is a memory hierarchy?,"Memory hierarchy is a structure that uses multiple levels of storage to balance speed and capacity."
Computer Organization and Computer Architecture,What is RAM?,"RAM (Random Access Memory) is a type of computer memory that can be accessed randomly."
Computer Organization and Computer Architecture,What is ROM?,"ROM (Read-Only Memory) is a type of non-volatile memory that is used to store firmware."
Computer Organization and Computer Architecture,What is an ALU?,"An ALU (Arithmetic Logic Unit) is a digital circuit that performs arithmetic and logical operations."
Computer Organization and Computer Architecture,What is a cache?,"A cache is a smaller, faster memory component that stores copies of frequently accessed data."
Computer Organization and Computer Architecture,What is a bus?,"A bus is a communication system that transfers data between components inside a computer."
Computer Organization and Computer Architecture,What is an instruction set?,"An instruction set is a collection of instructions that a CPU can execute."
Computer Organization and Computer Architecture,What is pipelining?,"Pipelining is a technique where multiple instruction phases are overlapped to improve performance."
Computer Organization and Computer Architecture,What is a microprocessor?,"A microprocessor is a compact integrated circuit designed to function as the CPU of a computer."
Computer Organization and Computer Architecture,What is virtual memory?,"Virtual memory is a memory management technique that provides an 'idealized abstraction' of the storage resources."
Computer Organization and Computer Architecture,What is a data path?,"A data path is the part of a CPU that performs operations on data."
Computer Organization and Computer Architecture,What is a control unit?,"The control unit is the component of a CPU that directs its operation."
Computer Organization and Computer Architecture,What is a system bus?,"A system bus is a bus that connects the CPU to the main memory and other components."
Computer Organization and Computer Architecture,What is an opcode?,"An opcode (operation code) is a part of an instruction that specifies the operation to be performed."
Computer Organization and Computer Architecture,What is memory-mapped I/O?,"Memory-mapped I/O is a method used in computer architecture to control input/output devices."
Computer Organization and Computer Architecture,What is DMA?,"DMA (Direct Memory Access) is a feature that allows peripheral devices to access memory independently of the CPU."
Computer Organization and Computer Architecture,What is a peripheral device?,"A peripheral device is any external device that provides input and output for a computer."
Computer Organization and Computer Architecture,What is a hardware interrupt?,"A hardware interrupt is a signal to the processor emitted by hardware indicating an event that needs immediate attention."
Theory of Computation,What is automata theory?,"Automata theory is the study of abstract machines and the problems they can solve."
Theory of Computation,What is a finite automaton?,"A finite automaton is a mathematical model of computation that can be in one of a finite number of states."
Theory of Computation,What is a Turing machine?,"A Turing machine is an abstract computational model that manipulates symbols on a strip of tape according to a set of rules."
Theory of Computation,What is a context-free grammar?,"A context-free grammar is a type of formal grammar that can generate all possible strings in a context-free language."
Theory of Computation,What is a regular language?,"A regular language is a category of languages that can be expressed using regular expressions."
